iter	Passed	Remaining
0	173	173723
1	187	93637
2	198	65931
3	207	51653
4	216	43049
5	222	36897
6	228	32363
7	234	29022
8	240	26502
9	245	24333
10	251	22656
11	257	21191
12	262	19927
13	267	18865
14	274	18029
15	279	17194
16	285	16505
17	290	15840
18	295	15249
19	301	14770
20	306	14272
21	310	13825
22	316	13450
23	322	13094
24	327	12781
25	333	12502
26	340	12271
27	346	12041
28	351	11775
29	356	11517
30	362	11327
31	367	11109
32	372	10909
33	378	10752
34	383	10572
35	388	10402
36	397	10334
37	404	10239
38	410	10109
39	415	9967
40	420	9839
41	425	9716
42	430	9582
43	435	9462
44	441	9371
45	446	9251
46	450	9135
47	455	9040
48	461	8963
49	466	8857
50	471	8770
51	477	8698
52	481	8596
53	485	8510
54	491	8443
55	496	8370
56	501	8291
57	506	8233
58	513	8195
59	521	8164
60	526	8103
61	532	8054
62	537	8000
63	543	7947
64	549	7899
65	555	7865
66	560	7806
67	565	7752
68	572	7728
69	578	7679
70	584	7653
71	590	7615
72	595	7565
73	600	7518
74	607	7493
75	613	7454
76	619	7429
77	625	7389
78	629	7340
79	636	7317
80	642	7287
81	646	7238
82	653	7222
83	659	7187
84	663	7142
85	671	7138
86	676	7100
87	682	7073
88	689	7061
89	694	7018
90	701	7008
91	708	6994
92	717	7000
93	723	6971
94	729	6948
95	736	6934
96	741	6904
97	751	6912
98	755	6878
99	760	6841
100	766	6825
101	771	6790
102	776	6765
103	782	6740
104	786	6706
105	791	6673
106	798	6662
107	802	6631
108	808	6605
109	814	6588
110	819	6563
111	824	6540
112	833	6541
113	837	6508
114	844	6495
115	850	6478
116	854	6448
117	859	6427
118	865	6408
119	870	6381
120	875	6361
121	881	6341
122	885	6315
123	890	6291
124	895	6271
125	900	6248
126	906	6229
127	912	6214
128	916	6190
129	922	6172
130	928	6158
131	932	6134
132	939	6121
133	943	6099
134	947	6073
135	952	6048
136	958	6039
137	963	6017
138	967	5994
139	974	5986
140	979	5964
141	982	5939
142	988	5924
143	993	5904
144	997	5881
145	1003	5867
146	1007	5848
147	1013	5837
148	1018	5818
149	1024	5804
150	1029	5787
151	1034	5771
152	1039	5754
153	1044	5737
154	1048	5716
155	1053	5701
156	1058	5685
157	1063	5666
158	1067	5648
159	1073	5635
160	1083	5645
161	1092	5649
162	1101	5658
163	1111	5667
164	1121	5676
165	1129	5676
166	1138	5680
167	1145	5673
168	1156	5684
169	1161	5668
170	1169	5667
171	1174	5654
172	1180	5644
173	1185	5629
174	1191	5618
175	1197	5607
176	1202	5592
177	1207	5577
178	1214	5569
179	1220	5559
180	1224	5540
181	1230	5532
182	1238	5530
183	1244	5518
184	1252	5518
185	1257	5501
186	1263	5491
187	1268	5480
188	1273	5464
189	1278	5452
190	1284	5441
191	1288	5423
192	1294	5413
193	1301	5407
194	1307	5395
195	1313	5386
196	1318	5373
197	1323	5359
198	1328	5349
199	1334	5336
200	1339	5324
201	1345	5316
202	1351	5305
203	1356	5292
204	1362	5284
205	1367	5269
206	1372	5256
207	1378	5248
208	1383	5236
209	1388	5224
210	1394	5215
211	1399	5202
212	1404	5191
213	1411	5182
214	1415	5169
215	1421	5158
216	1427	5150
217	1432	5138
218	1438	5129
219	1444	5120
220	1449	5107
221	1453	5093
222	1459	5085
223	1464	5072
224	1468	5059
225	1474	5051
226	1480	5039
227	1485	5028
228	1491	5022
229	1496	5010
230	1501	4997
231	1507	4989
232	1512	4977
233	1517	4967
234	1524	4962
235	1530	4955
236	1536	4946
237	1541	4936
238	1546	4925
239	1551	4914
240	1557	4904
241	1562	4893
242	1566	4880
243	1572	4871
244	1577	4860
245	1582	4849
246	1588	4843
247	1594	4833
248	1599	4823
249	1605	4816
250	1610	4805
251	1616	4798
252	1622	4790
253	1629	4785
254	1635	4779
255	1641	4771
256	1646	4758
257	1652	4752
258	1657	4743
259	1662	4730
260	1668	4724
261	1673	4713
262	1678	4703
263	1685	4700
264	1690	4689
265	1695	4678
266	1701	4670
267	1706	4661
268	1711	4650
269	1717	4643
270	1722	4633
271	1728	4625
272	1733	4616
273	1739	4608
274	1746	4603
275	1752	4597
276	1757	4586
277	1761	4575
278	1768	4569
279	1772	4557
280	1778	4551
281	1785	4546
282	1790	4537
283	1797	4531
284	1802	4522
285	1806	4511
286	1813	4504
287	1818	4496
288	1823	4485
289	1829	4478
290	1835	4472
291	1840	4461
292	1847	4456
293	1851	4446
294	1857	4438
295	1862	4430
296	1867	4420
297	1874	4415
298	1881	4411
299	1887	4404
300	1894	4400
301	1899	4389
302	1903	4377
303	1909	4370
304	1913	4360
305	1917	4349
306	1923	4341
307	1928	4332
308	1933	4322
309	1938	4314
310	1943	4305
311	1948	4296
312	1955	4291
313	1960	4283
314	1965	4273
315	1970	4266
316	1977	4259
317	1981	4250
318	1986	4240
319	1992	4233
320	1996	4224
321	2001	4214
322	2007	4208
323	2013	4200
324	2020	4195
325	2025	4188
326	2030	4178
327	2035	4170
328	2041	4163
329	2046	4155
330	2052	4148
331	2057	4140
332	2061	4129
333	2066	4119
334	2072	4114
335	2077	4106
336	2082	4096
337	2088	4089
338	2092	4079
339	2096	4069
340	2101	4060
341	2105	4051
342	2110	4042
343	2115	4033
344	2122	4029
345	2126	4019
346	2131	4011
347	2137	4004
348	2141	3994
349	2145	3984
350	2150	3976
351	2156	3969
352	2161	3960
353	2167	3955
354	2172	3946
355	2175	3936
356	2182	3930
357	2187	3923
358	2192	3914
359	2197	3905
360	2201	3897
361	2206	3889
362	2212	3881
363	2217	3874
364	2222	3865
365	2226	3856
366	2232	3850
367	2237	3843
368	2242	3835
369	2248	3828
370	2253	3820
371	2259	3814
372	2264	3807
373	2270	3799
374	2275	3792
375	2281	3785
376	2285	3776
377	2289	3768
378	2295	3760
379	2299	3751
380	2304	3743
381	2309	3736
382	2315	3729
383	2319	3721
384	2324	3713
385	2330	3706
386	2334	3698
387	2339	3689
388	2345	3683
389	2350	3676
390	2355	3668
391	2361	3662
392	2366	3654
393	2370	3646
394	2375	3639
395	2381	3631
396	2385	3624
397	2391	3617
398	2396	3609
399	2400	3601
400	2405	3593
401	2410	3585
402	2417	3580
403	2422	3573
404	2428	3567
405	2432	3558
406	2438	3552
407	2442	3544
408	2447	3536
409	2452	3528
410	2458	3522
411	2462	3515
412	2467	3507
413	2474	3502
414	2478	3494
415	2483	3486
416	2488	3479
417	2494	3473
418	2499	3465
419	2504	3458
420	2509	3451
421	2514	3443
422	2518	3435
423	2524	3429
424	2528	3420
425	2532	3412
426	2538	3406
427	2543	3399
428	2548	3391
429	2554	3385
430	2559	3379
431	2564	3371
432	2570	3366
433	2575	3359
434	2580	3352
435	2586	3345
436	2590	3337
437	2595	3330
438	2601	3323
439	2607	3318
440	2611	3310
441	2617	3304
442	2621	3296
443	2626	3288
444	2630	3280
445	2637	3275
446	2641	3267
447	2645	3259
448	2651	3254
449	2655	3246
450	2660	3238
451	2666	3233
452	2672	3226
453	2676	3219
454	2682	3212
455	2687	3206
456	2692	3199
457	2698	3192
458	2703	3186
459	2709	3180
460	2714	3173
461	2718	3165
462	2724	3159
463	2728	3151
464	2733	3145
465	2739	3139
466	2745	3133
467	2749	3125
468	2754	3118
469	2760	3112
470	2765	3106
471	2770	3098
472	2774	3090
473	2779	3084
474	2784	3077
475	2788	3069
476	2792	3062
477	2798	3056
478	2803	3049
479	2808	3042
480	2815	3037
481	2820	3030
482	2825	3023
483	2829	3017
484	2835	3010
485	2839	3003
486	2845	2997
487	2850	2991
488	2855	2984
489	2861	2978
490	2866	2971
491	2870	2963
492	2874	2956
493	2880	2950
494	2885	2943
495	2890	2936
496	2895	2930
497	2900	2923
498	2906	2917
499	2911	2911
500	2916	2904
501	2920	2897
502	2926	2891
503	2930	2884
504	2935	2877
505	2941	2871
506	2945	2864
507	2950	2857
508	2956	2852
509	2961	2845
510	2965	2838
511	2971	2832
512	2976	2825
513	2981	2818
514	2985	2811
515	2991	2806
516	2996	2799
517	3001	2792
518	3006	2786
519	3011	2779
520	3016	2773
521	3020	2766
522	3026	2760
523	3030	2752
524	3036	2746
525	3041	2740
526	3046	2734
527	3051	2727
528	3056	2721
529	3060	2714
530	3065	2707
531	3071	2702
532	3076	2695
533	3080	2688
534	3085	2681
535	3090	2675
536	3095	2669
537	3100	2662
538	3106	2656
539	3111	2650
540	3116	2643
541	3122	2638
542	3126	2631
543	3130	2623
544	3136	2618
545	3141	2612
546	3145	2605
547	3152	2599
548	3156	2592
549	3160	2585
550	3165	2579
551	3170	2573
552	3176	2567
553	3180	2560
554	3187	2555
555	3191	2548
556	3196	2542
557	3204	2538
558	3209	2531
559	3214	2525
